ingredient_name,cir_conclusion,concentration_or_context_notes,report_url,date_or_year,confidence
Retinol / Retinoids,"Safe as a cosmetic ingredient in the present practices of use and concentration; original conclusion reaffirmed in later reviews.","Panel reopened the assessment for a broader review of photo co-mutagenicity/photo co-carcinogenicity data after new FDA/NTP photocarcinogenesis study data emerged; original 1987 conclusion held through at least 2008.",https://www.cir-safety.org/panelbook/safety-assessment-retinol-retinoic-acid-and-retinyl-esters-used-cosmetics,1987 (reaffirmed 2005/2008; reopened for updated review),medium
Niacinamide,"CIR Expert Panel found niacinamide (assessed together with niacin, judged toxicologically similar) safe as used in cosmetics; not a sensitizer or photosensitizer.","No stinging up to 10% in clinical testing; no irritation in use tests up to 5%; 21-day cumulative irritation test up to 5% showed no irritancy. Niacinamide/niacin are on CIR's 2024/2025 priority list for re-assessment.",https://www.cir-safety.org/supplementaldoc/safety-assessment-niacinamide-and-niacin,2005 (International Journal of Toxicology; slated for re-review 2025/2026),medium
Salicylic Acid,"Salicylic Acid and 17 related salicylate ingredients are safe in cosmetics in the present practices of use and concentration, when formulated to be non-irritating and non-sensitizing.","Must be formulated to avoid increasing skin's sun sensitivity, or, where increased sun sensitivity is expected, directions must include daily sunscreen use.",https://www.cir-safety.org/panelbook/amended-safety-assessment-salicylic-acid-and-salicylates-used-cosmetics,2019 (amended final report),high
Glycolic Acid (AHA),"Glycolic acid and lactic acid, their common salts and simple esters, are safe for use in cosmetic products at the stated concentrations/pH.","Leave-on/general use: <=10% concentration, formulation pH >=3.5, with sun-sensitivity precautions. Salon/professional use: <=30% concentration, pH >=3.0, brief discontinuous use with thorough rinsing, applied by trained professionals, with mandatory sun-protection directions.",https://www.cir-safety.org/sites/default/files/ahas.pdf,1998 original (reaffirmed after 2013 re-review),high
Benzoyl Peroxide,NOT FOUND,"No dedicated CIR cosmetic safety assessment located; benzoyl peroxide acne products in the US are regulated by FDA as an OTC drug monograph ingredient rather than reviewed by CIR as a cosmetic ingredient.",,,low
Azelaic Acid,"Included in CIR's safety assessment of dicarboxylic acids: the Panel concluded that the 12 dicarboxylic acids/salts and 44 esters covered (including azelaic acid) are safe for use in cosmetic products in the present practices of use and concentration.","Approved up to 0.3% in leave-on products and 10% in rinse-off products as a dicarboxylic acid ingredient; cumulative irritation of a 15% azelaic acid gel increased with successive patching in cited clinical data (note: azelaic acid is more commonly used as an OTC/Rx drug for rosacea/acne at 15-20%, which falls outside CIR's cosmetic-only scope).",https://www.cir-safety.org/sites/default/files/117_final_dicarb.pdf,2010 (CIR Expert Panel meeting on Dicarboxylic Acids),medium
Hyaluronic Acid / Sodium Hyaluronate,"The Panel concluded that hyaluronate ingredients (Hyaluronic Acid, Potassium Hyaluronate, Sodium Hyaluronate, and related forms) are safe in cosmetics in the present practices of use and concentration described in the safety assessment.","Panel noted possible animal-derived (rooster comb) sourcing and recommended limiting infectious agents/biological impurities and heavy metals per FDA/EPA limits.",https://www.cir-safety.org/sites/default/files/FR_Hyaluronates_062023.pdf,2023 (final report),high
Ascorbic Acid (Vitamin C),"L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate are safe as used in cosmetic products.","Ascorbic Acid safe at concentrations <=10% in leave-on products and <=5% in rinse-off products.",https://www.cir-safety.org/sites/default/files/Ascorbic%20Acid.pdf,2005 (original final report; literature re-reviewed 2024),high
Alpha Arbutin,NOT FOUND,"No CIR (US) safety assessment located for alpha-arbutin or arbutin. The only found expert-body assessment is from the EU's SCCS (not CIR), which set alpha-arbutin limits of 2% in face creams / 0.5% in body lotions (Feb 2023 opinion) — do not cite this as CIR data.",,,low
Kojic Acid,"Original Panel conclusion: dermal sensitization and skin-lightening effects would not occur below 1% use concentration, so kojic acid is safe for use in cosmetics up to that level.","Safe up to 1% concentration. Not a toxicant in acute/chronic/reproductive/genotoxicity studies; some animal tumor-promotion signal but limited dermal absorption. Assessment reopened June 2022 for re-evaluation given EU restrictions and rising use levels; re-review still in progress as of the 2024-2026 priority lists.",https://www.cir-safety.org/sites/default/files/Kojic_Acid.pdf,2010 original (reopened 2022, re-review ongoing),medium
Tranexamic Acid,NOT FOUND,"No CIR cosmetic safety assessment located for tranexamic acid; it does not appear on located CIR priority/assessment lists. Most available safety literature covers its use as an injectable/oral hemostatic drug, not a reviewed cosmetic ingredient.",,,low
Ceramides,"The Panel concluded that ceramides (including Ceramide 1-5 and related individual ingredients, 23 total reviewed) are safe in cosmetics in the present practices of use and concentration described in the safety assessment.","Function as hair-conditioning and skin-conditioning agents; Panel had requested additional data on manufacturing method, impurities, and dermal absorption before reaching this conclusion.",https://www.cir-safety.org/sites/default/files/cerami032015rep.pdf,2015 (final report; published in IJT 2020),high
